Key,Id,English(en),Japanese(ja),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),French(fr),German(de),Italian(it),Portuguese(pt),Spanish(es),Korean(ko),Russian(ru)
desc_dining_table,,A place where meals and conversations gather at night. The rooftop center point.,食事も会話も夜に集まる場所。屋上の中心点。,食物与对话在夜里聚集的地方，屋顶的中心点。,食物與對話在夜裡聚集的地方，屋頂的中心點。,A place where meals and conversations gather at night. The rooftop center point.,A place where meals and conversations gather at night. The rooftop center point.,A place where meals and conversations gather at night. The rooftop center point.,A place where meals and conversations gather at night. The rooftop center point.,Un lugar donde comidas y conversaciones se reúnen de noche. El centro de la azotea.,A place where meals and conversations gather at night. The rooftop center point.,"Место, где ночью собираются еда и разговоры. Центральная точка крыши."
desc_electric_height_adjustable_desk,,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,高さを変えるたびに姿勢も気分も切り替わる。立って星を見ることもある。,每次调高低都能换姿势换心情，有时会站着看星星。,每次調高低都能換姿勢換心情，有時會站著看星星。,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,Cada cambio de altura cambia postura y ánimo. A veces te pones de pie a mirar las estrellas.,Each height change shifts posture and mood. Sometimes you stand to watch the stars.,Каждое изменение высоты меняет осанку и настроение. Иногда встаёшь смотреть на звёзды.
desc_tv_stand,,A fixed spot that supports the screen. Your gaze always goes beyond it.,画面を支えるための定位置。視線はいつもその先へ。,支撑屏幕的定位置，视线总会越过它。,支撐螢幕的定位置，視線總會越過它。,A fixed spot that supports the screen. Your gaze always goes beyond it.,A fixed spot that supports the screen. Your gaze always goes beyond it.,A fixed spot that supports the screen. Your gaze always goes beyond it.,A fixed spot that supports the screen. Your gaze always goes beyond it.,Un sitio fijo que sostiene la pantalla. La mirada siempre va más allá.,A fixed spot that supports the screen. Your gaze always goes beyond it.,"Фиксированное место, поддерживающее экран. Взгляд всегда уходит дальше."
desc_low_table_simple,,A low table that makes no extra claims. The floor and the night feel closer.,余計な主張をしない低い机。床と夜の距離が近い。,不多言的矮桌子，让地面与夜晚更近。,不多言的矮桌子，讓地面與夜晚更近。,A low table that makes no extra claims. The floor and the night feel closer.,A low table that makes no extra claims. The floor and the night feel closer.,A low table that makes no extra claims. The floor and the night feel closer.,A low table that makes no extra claims. The floor and the night feel closer.,Una mesa baja sin pretensiones. El suelo y la noche se sienten más cerca.,A low table that makes no extra claims. The floor and the night feel closer.,Низкий стол без лишних заявлений. Пол и ночь становятся ближе.
desc_low_table_stylish,,A low table that sets the mood just by being there. Late-night snacks look great on it.,置くだけで雰囲気が整う低テーブル。夜食が映える。,放着就有氛围的低桌子，夜宵更上镜。,放著就有氛圍的低桌子，夜宵更上鏡。,A low table that sets the mood just by being there. Late-night snacks look great on it.,A low table that sets the mood just by being there. Late-night snacks look great on it.,A low table that sets the mood just by being there. Late-night snacks look great on it.,A low table that sets the mood just by being there. Late-night snacks look great on it.,Una mesa baja que crea ambiente solo con estar. Los snacks nocturnos se ven genial.,A low table that sets the mood just by being there. Late-night snacks look great on it.,"Низкий стол, задающий настроение одним присутствием. Ночные перекусы смотрятся на нём отлично."
desc_cafe_table_square,,The angular shape sharpens the night. The cafe mood depends on the breeze.,角のある形が夜を引き締める。カフェ気分は風次第。,有棱角的形状让夜更利落，咖啡馆气氛看风。,有稜角的形狀讓夜更俐落，咖啡館氣氛看風。,The angular shape sharpens the night. The cafe mood depends on the breeze.,The angular shape sharpens the night. The cafe mood depends on the breeze.,The angular shape sharpens the night. The cafe mood depends on the breeze.,The angular shape sharpens the night. The cafe mood depends on the breeze.,La forma angular afila la noche. El ánimo de café depende de la brisa.,The angular shape sharpens the night. The cafe mood depends on the breeze.,Угловатая форма делает ночь строже. Кафейное настроение зависит от ветра.
desc_cafe_table_round,,The round shape gathers conversation. Time flows a little slower.,丸い形が会話を集める。時間が少しゆっくり流れる。,圆形把对话聚在一起，时间也慢一点。,圓形把對話聚在一起，時間也慢一點。,The round shape gathers conversation. Time flows a little slower.,The round shape gathers conversation. Time flows a little slower.,The round shape gathers conversation. Time flows a little slower.,The round shape gathers conversation. Time flows a little slower.,La forma redonda reúne la conversación. El tiempo fluye un poco más lento.,The round shape gathers conversation. Time flows a little slower.,Круглая форма собирает разговоры. Время течёт чуть медленнее.
desc_low_table_round,,A round table close to the floor. Before you know it this becomes the usual spot.,床に近い丸テーブル。気づくとここが定位置になる。,靠近地面的圆桌，不知不觉就成了固定位置。,靠近地面的圓桌，不知不覺就成了固定位置。,A round table close to the floor. Before you know it this becomes the usual spot.,A round table close to the floor. Before you know it this becomes the usual spot.,A round table close to the floor. Before you know it this becomes the usual spot.,A round table close to the floor. Before you know it this becomes the usual spot.,Una mesa redonda cerca del suelo. Sin darte cuenta se vuelve el lugar habitual.,A round table close to the floor. Before you know it this becomes the usual spot.,Круглый стол близко к полу. Не заметишь — и это уже обычное место.
,,,,,,,,,,,,
desc_3_seater_sofa_a,,A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,夜風を受け止める三人掛け。広いのに、だいたい一人で使われる。,接住夜风的三人沙发，明明很宽却多半被一个人占用。,接住夜風的三人沙發，明明很寬卻多半被一個人占用。,A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,"Un sofá de tres plazas que recibe la brisa nocturna. Aunque es ancho, suele usarlo una sola persona.",A three-seater that catches the night breeze. Even though it's wide it's usually used by one person.,"Трёхместный диван, ловящий ночной ветер. Хоть он широкий, обычно им пользуется один."
desc_1_seater_sofa_a,,A single seat that keeps you company in quiet time. The deeper you sit the more you think.,静かな時間に寄り添う一人掛け。深く座るほど考え事が増える。,陪伴安静时光的单人沙发，坐得越深想得越多。,陪伴安靜時光的單人沙發，坐得越深想得越多。,A single seat that keeps you company in quiet time. The deeper you sit the more you think.,A single seat that keeps you company in quiet time. The deeper you sit the more you think.,A single seat that keeps you company in quiet time. The deeper you sit the more you think.,A single seat that keeps you company in quiet time. The deeper you sit the more you think.,"Un asiento individual que te acompaña en la quietud. Cuanto más profundo te sientas, más piensas.",A single seat that keeps you company in quiet time. The deeper you sit the more you think.,"Одиночное сиденье, которое рядом в тихие часы. Чем глубже садишься, тем больше думаешь."
desc_armless_3_seater_sofa,,Open without armrests. You can flop toward the night sky.,ひじ掛けのない開放感。夜空に向かってごろっとできる。,没有扶手的开阔感，可以朝着夜空一躺。,沒有扶手的開闊感，可以朝著夜空一躺。,Open without armrests. You can flop toward the night sky.,Open without armrests. You can flop toward the night sky.,Open without armrests. You can flop toward the night sky.,Open without armrests. You can flop toward the night sky.,Abierto sin reposabrazos. Puedes dejarte caer hacia el cielo nocturno.,Open without armrests. You can flop toward the night sky.,Открытый без подлокотников. Можно плюхнуться в сторону ночного неба.
desc_armless_1_seater_sofa,,Light and free for one person. Sit however you feel.,身軽で自由な一人分。座り方は気分任せ。,轻便自由的一人份，坐姿随心。,輕便自由的一人份，坐姿隨心。,Light and free for one person. Sit however you feel.,Light and free for one person. Sit however you feel.,Light and free for one person. Sit however you feel.,Light and free for one person. Sit however you feel.,Ligero y libre para una persona. Siéntate como te apetezca.,Light and free for one person. Sit however you feel.,Лёгкое и свободное место для одного. Садись как хочешь.
desc_cafe_sofa_corner,,A spot that fits in the corner and calms you. You end up staying long.,角に収まって落ち着く場所。気づくと長居している。,窝在角落就安定的地方，不知不觉待很久。,窩在角落就安定的地方，不知不覺待很久。,A spot that fits in the corner and calms you. You end up staying long.,A spot that fits in the corner and calms you. You end up staying long.,A spot that fits in the corner and calms you. You end up staying long.,A spot that fits in the corner and calms you. You end up staying long.,Un lugar que encaja en la esquina y te calma. Terminas quedándote mucho.,A spot that fits in the corner and calms you. You end up staying long.,"Место, которое уютно в углу и успокаивает. В итоге задерживаешься надолго."
desc_cafe_sofa_middle,,A seat completed by connecting. Conversation naturally gathers here.,つなげることで完成する居場所。会話は自然とここに集まる。,连接起来才完整的座位，对话自然聚集。,連接起來才完整的座位，對話自然聚集。,A seat completed by connecting. Conversation naturally gathers here.,A seat completed by connecting. Conversation naturally gathers here.,A seat completed by connecting. Conversation naturally gathers here.,A seat completed by connecting. Conversation naturally gathers here.,Un asiento que se completa al unirlo. La conversación se reúne aquí naturalmente.,A seat completed by connecting. Conversation naturally gathers here.,"Сиденье, завершённое соединением. Разговоры естественно собираются здесь."
desc_ottoman_a,,There to rest your feet. Sometimes it ends up as the star.,足を休めるための存在。いつの間にか主役になることもある。,用来歇脚的存在，偶尔却成主角。,用來歇腳的存在，偶爾卻成主角。,There to rest your feet. Sometimes it ends up as the star.,There to rest your feet. Sometimes it ends up as the star.,There to rest your feet. Sometimes it ends up as the star.,There to rest your feet. Sometimes it ends up as the star.,Está para descansar los pies. A veces termina siendo la estrella.,There to rest your feet. Sometimes it ends up as the star.,Для отдыха ног. Иногда становится главным героем.
desc_ottoman_b,,A quietly placed rest role. Waiting for its moment.,そっと置かれた休憩役。静かに出番を待っている。,悄悄放着的休息角色，静静等出场。,悄悄放著的休息角色，靜靜等出場。,A quietly placed rest role. Waiting for its moment.,A quietly placed rest role. Waiting for its moment.,A quietly placed rest role. Waiting for its moment.,A quietly placed rest role. Waiting for its moment.,Un papel de descanso colocado en silencio. Espera su momento.,A quietly placed rest role. Waiting for its moment.,Тихо поставленный отдых. Ждёт своего выхода.
desc_3_seater_sofa_b,,A three-seater with a soft presence. The rooftop air softens a bit.,柔らかい存在感の三人掛け。屋上の空気が少し和らぐ。,存在感柔和的三人沙发，屋顶空气也跟着缓和。,存在感柔和的三人沙發，屋頂空氣也跟著緩和。,A three-seater with a soft presence. The rooftop air softens a bit.,A three-seater with a soft presence. The rooftop air softens a bit.,A three-seater with a soft presence. The rooftop air softens a bit.,A three-seater with a soft presence. The rooftop air softens a bit.,Un sofá de tres plazas con presencia suave. El aire de la azotea se suaviza un poco.,A three-seater with a soft presence. The rooftop air softens a bit.,Трёхместный диван с мягким присутствием. Воздух на крыше становится чуть мягче.
desc_1_seater_sofa_b,,The right distance for a solo night. Pairs well with thoughts.,一人の夜にちょうどいい距離感。考え事と相性がいい。,适合独处的夜晚距离感，与思绪很合。,適合獨處的夜晚距離感，與思緒很合。,The right distance for a solo night. Pairs well with thoughts.,The right distance for a solo night. Pairs well with thoughts.,The right distance for a solo night. Pairs well with thoughts.,The right distance for a solo night. Pairs well with thoughts.,La distancia justa para una noche en solitario. Combina bien con los pensamientos.,The right distance for a solo night. Pairs well with thoughts.,Правильная дистанция для одиночной ночи. Хорошо сочетается с мыслями.
desc_backless_bench_1_seater,,The clean simplicity of no backrest. You sit for a bit and end up staying late.,背もたれのない潔さ。少し座るつもりが夜更かしになる。,没有靠背的干脆，本想坐会儿却熬夜。,沒有靠背的乾脆，本想坐會兒卻熬夜。,The clean simplicity of no backrest. You sit for a bit and end up staying late.,The clean simplicity of no backrest. You sit for a bit and end up staying late.,The clean simplicity of no backrest. You sit for a bit and end up staying late.,The clean simplicity of no backrest. You sit for a bit and end up staying late.,La simplicidad limpia de no tener respaldo. Te sientas un poco y acabas trasnochando.,The clean simplicity of no backrest. You sit for a bit and end up staying late.,Чистая простота без спинки. Сел на минутку и в итоге засиделся до позднего.
desc_backless_bench_3_seater,,Sitting side by side shortens the distance. The wind and conversation are shared.,並んで座ると距離が縮まる。風と会話が共有される。,并排坐距离会拉近，风与对话都能共享。,並排坐距離會拉近，風與對話都能共享。,Sitting side by side shortens the distance. The wind and conversation are shared.,Sitting side by side shortens the distance. The wind and conversation are shared.,Sitting side by side shortens the distance. The wind and conversation are shared.,Sitting side by side shortens the distance. The wind and conversation are shared.,Sentarse lado a lado acorta la distancia. El viento y la conversación se comparten.,Sitting side by side shortens the distance. The wind and conversation are shared.,"Сидя рядом, расстояние сокращается. Ветер и разговоры делятся."
,,,,,,,,,,,,
desc_chair_a,,A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,夜風の中で腰を下ろすための基本形。長く座るほど静かになる。,在夜风中落座的基本款，坐得越久越安静。,在夜風中落座的基本款，坐得越久越安靜。,A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,"Una forma básica para sentarse en la brisa nocturna. Cuanto más te sientas, más silencio.",A basic form to sit down in the night breeze. The longer you sit the quieter it gets.,"Базовая форма, чтобы присесть под ночным ветром. Чем дольше сидишь, тем тише."
desc_chair_b,,Just by placing it you gain another rooftop spot. Its presence is modest.,置くだけで屋上の居場所が一つ増える。存在は控えめ。,放下就多一个屋顶位置，存在感很低调。,放下就多一個屋頂位置，存在感很低調。,Just by placing it you gain another rooftop spot. Its presence is modest.,Just by placing it you gain another rooftop spot. Its presence is modest.,Just by placing it you gain another rooftop spot. Its presence is modest.,Just by placing it you gain another rooftop spot. Its presence is modest.,Con solo ponerla ganas otro lugar en la azotea. Su presencia es discreta.,Just by placing it you gain another rooftop spot. Its presence is modest.,Просто поставишь — и ещё одно место на крыше. Присутствие скромное.
desc_chair_c,,A chair you can sit and rise from lightly. Just right between thoughts.,軽く座れて軽く立てる椅子。考え事の合間にちょうどいい。,坐下和起身都轻巧的椅子，思考间隙正合适。,坐下和起身都輕巧的椅子，思考間隙正合適。,A chair you can sit and rise from lightly. Just right between thoughts.,A chair you can sit and rise from lightly. Just right between thoughts.,A chair you can sit and rise from lightly. Just right between thoughts.,A chair you can sit and rise from lightly. Just right between thoughts.,Una silla en la que puedes sentarte y levantarte con ligereza. Justa entre pensamientos.,A chair you can sit and rise from lightly. Just right between thoughts.,"Стул, с которого легко сесть и встать. В самый раз между мыслями."
desc_chair_d,,Supports you more than it looks. A late-night partner.,見た目よりもしっかり支える。夜更けの相棒。,比外表更能撑的椅子，深夜搭档。,比外表更能撐的椅子，深夜搭檔。,Supports you more than it looks. A late-night partner.,Supports you more than it looks. A late-night partner.,Supports you more than it looks. A late-night partner.,Supports you more than it looks. A late-night partner.,Te sostiene más de lo que parece. Un compañero nocturno.,Supports you more than it looks. A late-night partner.,"Поддерживает сильнее, чем кажется. Ночной напарник."
desc_high_chair_a,,A chair for viewing the night from a slightly higher perspective. The wind passes through.,少し高い目線から夜を眺める椅子。風がよく通る。,从略高的视角看夜晚的椅子，风很通畅。,從略高的視角看夜晚的椅子，風很通暢。,A chair for viewing the night from a slightly higher perspective. The wind passes through.,A chair for viewing the night from a slightly higher perspective. The wind passes through.,A chair for viewing the night from a slightly higher perspective. The wind passes through.,A chair for viewing the night from a slightly higher perspective. The wind passes through.,Una silla para ver la noche desde un poco más alto. El viento pasa a través.,A chair for viewing the night from a slightly higher perspective. The wind passes through.,"Стул, чтобы смотреть на ночь чуть выше. Ветер свободно проходит."
desc_high_chair_b,,A height that straightens your back naturally. You end up looking at the stars.,背筋が自然と伸びる高さ。星を見る姿勢になる。,自然挺直背的高度，会变成看星的姿势。,自然挺直背的高度，會變成看星的姿勢。,A height that straightens your back naturally. You end up looking at the stars.,A height that straightens your back naturally. You end up looking at the stars.,A height that straightens your back naturally. You end up looking at the stars.,A height that straightens your back naturally. You end up looking at the stars.,Una altura que endereza la espalda de forma natural. Terminas mirando las estrellas.,A height that straightens your back naturally. You end up looking at the stars.,"Высота, которая сама выпрямляет спину. В итоге смотришь на звёзды."
desc_office_chair_a,,A partner for focused work. Before you know it the night is deep.,作業に集中するための相棒。気づくと夜が深い。,专注作业的伙伴，不知不觉夜已深。,專注作業的夥伴，不知不覺夜已深。,A partner for focused work. Before you know it the night is deep.,A partner for focused work. Before you know it the night is deep.,A partner for focused work. Before you know it the night is deep.,A partner for focused work. Before you know it the night is deep.,"Un compañero para el trabajo concentrado. Cuando te das cuenta, la noche es profunda.",A partner for focused work. Before you know it the night is deep.,Партнёр для сосредоточенной работы. Не заметишь — и ночь уже глубокая.
desc_office_chair_b,,Lean into it and you return to reality. Switches you into work mode.,体を預けると現実に戻る。仕事モードの切り替え役。,把身体交给它就回到现实，切换工作模式。,把身體交給它就回到現實，切換工作模式。,Lean into it and you return to reality. Switches you into work mode.,Lean into it and you return to reality. Switches you into work mode.,Lean into it and you return to reality. Switches you into work mode.,Lean into it and you return to reality. Switches you into work mode.,Apóyate y vuelves a la realidad. Cambia al modo trabajo.,Lean into it and you return to reality. Switches you into work mode.,Откинулся — и вернулся к реальности. Переключает в рабочий режим.
desc_office_chair_c,,Its comfort steals your time. Fewer reasons to stand up.,座り心地で時間を奪ってくる存在。立ち上がる理由が減る。,坐感会偷走时间，让人少了起身理由。,坐感會偷走時間，讓人少了起身理由。,Its comfort steals your time. Fewer reasons to stand up.,Its comfort steals your time. Fewer reasons to stand up.,Its comfort steals your time. Fewer reasons to stand up.,Its comfort steals your time. Fewer reasons to stand up.,Su comodidad te roba el tiempo. Menos razones para levantarte.,Its comfort steals your time. Fewer reasons to stand up.,Его удобство крадёт твоё время. Меньше причин вставать.
,,,,,,,,,,,,
desc_bed,,A place that catches the end of the day. The night breeze becomes a lullaby.,一日の終わりを受け止める場所。夜風の音が子守歌になる。,接住一天尽头的地方，夜风声成了摇篮曲。,接住一天盡頭的地方，夜風聲成了搖籃曲。,A place that catches the end of the day. The night breeze becomes a lullaby.,A place that catches the end of the day. The night breeze becomes a lullaby.,A place that catches the end of the day. The night breeze becomes a lullaby.,A place that catches the end of the day. The night breeze becomes a lullaby.,Un lugar que recibe el final del día. La brisa nocturna se vuelve una canción de cuna.,A place that catches the end of the day. The night breeze becomes a lullaby.,"Место, принимающее конец дня. Ночной ветер становится колыбельной."
desc_low_bed,,Lower eye level brings more comfort. The sky feels a bit closer.,目線が低いぶん安心感が増す。空が少し近い。,视线更低更安心，天空也更近一点。,視線更低更安心，天空也更近一點。,Lower eye level brings more comfort. The sky feels a bit closer.,Lower eye level brings more comfort. The sky feels a bit closer.,Lower eye level brings more comfort. The sky feels a bit closer.,Lower eye level brings more comfort. The sky feels a bit closer.,Un nivel de mirada más bajo da más comodidad. El cielo parece más cercano.,Lower eye level brings more comfort. The sky feels a bit closer.,Низкий уровень взгляда приносит уют. Небо кажется ближе.
desc_futon_set,,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,敷くだけで眠る準備が整う。屋上でも変わらない安心。,铺好就能睡，屋顶上也不变的安心。,鋪好就能睡，屋頂上也不變的安心。,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,Solo extiéndelo y estás listo para dormir. La misma comodidad incluso en la azotea.,Just lay it down and you're ready to sleep. The same comfort even on the rooftop.,Просто расстели — и готов спать. Тот же уют даже на крыше.
desc_sleeping_bag,,The last resort for lying down anytime. Great for counting stars.,いつでも横になれる最終手段。星を数えるのに向いている。,随时能躺的最终手段，适合数星星。,隨時能躺的最終手段，適合數星星。,The last resort for lying down anytime. Great for counting stars.,The last resort for lying down anytime. Great for counting stars.,The last resort for lying down anytime. Great for counting stars.,The last resort for lying down anytime. Great for counting stars.,El último recurso para tumbarte en cualquier momento. Ideal para contar estrellas.,The last resort for lying down anytime. Great for counting stars.,Последнее средство лечь в любой момент. Отлично для счёта звёзд.
desc_storage_box_small,,A small box for stashing things for now. You remember the box more than what's inside.,とりあえずしまうための小箱。中身より存在を覚えている。,先收起来的小盒子，比起内容更记得它的存在。,先收起來的小盒子，比起內容更記得它的存在。,A small box for stashing things for now. You remember the box more than what's inside.,A small box for stashing things for now. You remember the box more than what's inside.,A small box for stashing things for now. You remember the box more than what's inside.,A small box for stashing things for now. You remember the box more than what's inside.,Una caja pequeña para guardar cosas por ahora. Recuerdas la caja más que el contenido.,A small box for stashing things for now. You remember the box more than what's inside.,"Небольшая коробка, чтобы временно спрятать вещи. Помнишь коробку больше, чем содержимое."
desc_storage_box_large,,A big box that can hold anything. Only the relief of putting things away remains.,何でも入る大きな箱。しまった安心感だけが残る。,什么都能装的大箱子，只留下收好的安心感。,什麼都能裝的大箱子，只留下收好的安心感。,A big box that can hold anything. Only the relief of putting things away remains.,A big box that can hold anything. Only the relief of putting things away remains.,A big box that can hold anything. Only the relief of putting things away remains.,A big box that can hold anything. Only the relief of putting things away remains.,Una caja grande que puede contenerlo todo. Solo queda el alivio de haber guardado.,A big box that can hold anything. Only the relief of putting things away remains.,"Большая коробка, в которую влезет всё. Остаётся лишь облегчение от уборки."
desc_photo_frame,,A place to gently display night memories. It quiets you every time you look.,夜の思い出をそっと飾る場所。見るたび静かになる。,轻轻装饰夜晚回忆的地方，每次看都会安静下来。,輕輕裝飾夜晚回憶的地方，每次看都會安靜下來。,A place to gently display night memories. It quiets you every time you look.,A place to gently display night memories. It quiets you every time you look.,A place to gently display night memories. It quiets you every time you look.,A place to gently display night memories. It quiets you every time you look.,Un lugar para exhibir con cariño recuerdos nocturnos. Te calma cada vez que miras.,A place to gently display night memories. It quiets you every time you look.,"Место, чтобы бережно показывать ночные воспоминания. Каждый взгляд успокаивает."
desc_tissue_box,,Always there when needed. A supporting star for night life.,必要なときに必ずそこにある。夜の生活を支える名脇役。,需要时一定在那儿，夜生活的名配角。,需要時一定在那兒，夜生活的名配角。,Always there when needed. A supporting star for night life.,Always there when needed. A supporting star for night life.,Always there when needed. A supporting star for night life.,Always there when needed. A supporting star for night life.,Siempre está cuando se necesita. Un actor de reparto para la vida nocturna.,Always there when needed. A supporting star for night life.,"Всегда там, когда нужно. Звезда второго плана ночной жизни."
desc_dslr_camera,,A tool that captures the night the moment you aim. The shutter clicks softly.,構えた瞬間、夜を切り取る道具。シャッター音が小さく響く。,举起瞬间就截下夜晚的工具，快门声轻轻回响。,舉起瞬間就截下夜晚的工具，快門聲輕輕迴響。,A tool that captures the night the moment you aim. The shutter clicks softly.,A tool that captures the night the moment you aim. The shutter clicks softly.,A tool that captures the night the moment you aim. The shutter clicks softly.,A tool that captures the night the moment you aim. The shutter clicks softly.,Una herramienta que captura la noche al apuntar. El obturador suena suave.,A tool that captures the night the moment you aim. The shutter clicks softly.,"Инструмент, который ловит ночь при наведении. Щелчок затвора тихий."
desc_stand_light_a,,A quiet light that illuminates your feet. In charge of late-night comfort.,足元を照らす静かな灯り。夜更けの安心担当。,照亮脚边的安静灯光，深夜安心担当。,照亮腳邊的安靜燈光，深夜安心擔當。,A quiet light that illuminates your feet. In charge of late-night comfort.,A quiet light that illuminates your feet. In charge of late-night comfort.,A quiet light that illuminates your feet. In charge of late-night comfort.,A quiet light that illuminates your feet. In charge of late-night comfort.,Una luz tranquila que ilumina tus pies. Encargada del confort nocturno.,A quiet light that illuminates your feet. In charge of late-night comfort.,"Тихий свет, освещающий ноги. Отвечает за ночной уют."
desc_stand_light_b,,Lighting that changes the air with its expression. Pairs well with the breeze.,光の表情で空気を変える照明。風と相性がいい。,用光影表情改变空气的灯，和风很搭。,用光影表情改變空氣的燈，和風很搭。,Lighting that changes the air with its expression. Pairs well with the breeze.,Lighting that changes the air with its expression. Pairs well with the breeze.,Lighting that changes the air with its expression. Pairs well with the breeze.,Lighting that changes the air with its expression. Pairs well with the breeze.,Iluminación que cambia el aire con su expresión. Se lleva bien con la brisa.,Lighting that changes the air with its expression. Pairs well with the breeze.,"Свет, который меняет атмосферу своим выражением. Хорошо сочетается с ветром."
desc_stand_light_c,,A slightly unique light. Adds color to the rooftop night.,少し個性的な光。屋上の夜に彩りを足す。,有点个性的光，为屋顶夜晚添彩。,有點個性的光，為屋頂夜晚添彩。,A slightly unique light. Adds color to the rooftop night.,A slightly unique light. Adds color to the rooftop night.,A slightly unique light. Adds color to the rooftop night.,A slightly unique light. Adds color to the rooftop night.,Una luz un poco única. Añade color a la noche de la azotea.,A slightly unique light. Adds color to the rooftop night.,Немного необычный свет. Добавляет цвета ночи на крыше.
desc_book_set_a_vertical,,Books lined up vertically. Even unread they hold stories.,縦に並んだ本たち。読まれなくても、そこに物語がある。,竖排的书们，即便不读也有故事。,豎排的書們，即便不讀也有故事。,Books lined up vertically. Even unread they hold stories.,Books lined up vertically. Even unread they hold stories.,Books lined up vertically. Even unread they hold stories.,Books lined up vertically. Even unread they hold stories.,Libros alineados en vertical. Incluso sin leer guardan historias.,Books lined up vertically. Even unread they hold stories.,"Книги, выстроенные вертикально. Даже непрочитанные хранят истории."
desc_book_set_b_vertical,,Decor that makes you feel wiser as it stacks up.,積み重ねるほど知識が増える気がするインテリア。,越堆越觉得知识增加的装饰。,越堆越覺得知識增加的裝飾。,Decor that makes you feel wiser as it stacks up.,Decor that makes you feel wiser as it stacks up.,Decor that makes you feel wiser as it stacks up.,Decor that makes you feel wiser as it stacks up.,Decoración que te hace sentir más sabio cuanto más se apila.,Decor that makes you feel wiser as it stacks up.,"Декор, из-за которого кажется, что становишься мудрее, чем больше его стопкой."
desc_book_set_a_horizontal,,Books stacked horizontally. Even unread they claim nighttime intellect.,横に積まれた本たち。読まれなくても夜の知性を主張している。,横向堆起的书，即便不读也在宣称夜晚的理性。,橫向堆起的書，即便不讀也在宣稱夜晚的理性。,Books stacked horizontally. Even unread they claim nighttime intellect.,Books stacked horizontally. Even unread they claim nighttime intellect.,Books stacked horizontally. Even unread they claim nighttime intellect.,Books stacked horizontally. Even unread they claim nighttime intellect.,Libros apilados en horizontal. Incluso sin leer reivindican intelecto nocturno.,Books stacked horizontally. Even unread they claim nighttime intellect.,"Книги, сложенные горизонтально. Даже непрочитанные заявляют о ночной интеллигентности."
desc_book_set_b_horizontal,,More horizontal stacks of books. Time meant to be read someday is piling up.,こちらも横積みの本。いつか読むつもりの時間が重なっている。,这边也是横堆的书，打算某天读的时间在堆积。,這邊也是橫堆的書，打算某天讀的時間在堆積。,More horizontal stacks of books. Time meant to be read someday is piling up.,More horizontal stacks of books. Time meant to be read someday is piling up.,More horizontal stacks of books. Time meant to be read someday is piling up.,More horizontal stacks of books. Time meant to be read someday is piling up.,Más pilas horizontales de libros. Se acumula el tiempo que algún día leerás.,More horizontal stacks of books. Time meant to be read someday is piling up.,Ещё больше горизонтальных стопок книг. Скапливается время «когда-нибудь прочитать».
desc_wall_shelf_a,,A small perch floating on the wall. Whatever sits there becomes part of the night view.,壁に浮かぶ小さな居場所。置かれた物が夜景になる。,浮在墙上的小角落，放上东西就成夜景。,浮在牆上的小角落，放上東西就成夜景。,A small perch floating on the wall. Whatever sits there becomes part of the night view.,A small perch floating on the wall. Whatever sits there becomes part of the night view.,A small perch floating on the wall. Whatever sits there becomes part of the night view.,A small perch floating on the wall. Whatever sits there becomes part of the night view.,Una pequeña repisa flotando en la pared. Lo que pongas se vuelve parte de la vista nocturna.,A small perch floating on the wall. Whatever sits there becomes part of the night view.,"Небольшая полочка, парящая на стене. Что бы ни положил, это становится частью ночного вида."
desc_wall_shelf_b,,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,空間を少しだけ拡張する棚。屋上の余白担当。,稍微扩展空间的架子，负责屋顶的留白。,稍微擴展空間的架子，負責屋頂的留白。,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,Una repisa que expande un poco el espacio. Encargada del «aire» de la azotea.,A shelf that slightly expands the space. In charge of the rooftop's breathing room.,"Полка, немного расширяющая пространство. Отвечает за «дыхание» крыши."
